"Key","SourceString",""
"FFr_2A228A58.DisplayName","First Room",""
"FFr_EFB35106.DisplayName","Bar",""
"FFr_D212E808.DisplayName","Club Room",""
"FFr_1FD7A367.DisplayName","Bathroom",""
"FFr_1FD7A367.Text","There's a huge line, some people talking, standing around, drinking from the tap, taking selfies.

A girl is looking under a bathroom stall.

The Czech girls stand by watching, doing their makeup in the mirror.",""
"FFr_88BFE888.DisplayName","VIP Room",""
"FFr_88BFE888.Text","",""
"FFr_0C5E5531.DisplayName","Club - outside",""
"FFr_0C5E5531.Text","The group separation happens here",""
"FFr_12003418.DisplayName","Smoking Section",""
"FFr_1A59A2D7.DisplayName","Van",""
"FFr_1A59A2D7.Text","The first cutscene happens inside the Van. Initial exposition and PC choice",""
"Dlg_7A6E53EE.DisplayName","Bogna - first meeting",""
"Dlg_7A6E53EE.Text","Isn't this amazing?",""
"Dlg_E4C7C06D.DisplayName","Bogna - first meeting",""
"Dlg_E4C7C06D.Text","The girl won't stop dancing. ""Isn't this amazing?""",""
"Dlg_E3F48015.DisplayName","Cloak Room Lady",""
"Dlg_76F866F1.DisplayName","The raver's problem",""
"Dlg_D58E1AC5.DisplayName","Untitled dialogue (02)",""
"Dlg_0E4D4F6A.DisplayName","Enlightened Raver looks for the angel",""
"Dlg_0E4D4F6A.Text","She's looking for an angel under the bathroom stall.

QUEST: The angel under the club

MAIN ATTRIBUTE: THE RHYTHM",""
"Dlg_F30F9AD7.DisplayName","The angel buried under the club",""
"Dlg_F30F9AD7.Text","She has her face to the ground. All the water and piss nearly touching her cheek it makes you retch.",""
"Dlg_115F2EA9.DisplayName","The Angel",""
"Dlg_F26EDC55.DisplayName","The Czech girls do their makeup",""
"Dlg_F26EDC55.Text","QUEST: Find out what's going on with the Czech girls.

MAIN ATTRIBUTE: THE WORD",""
"Dlg_97F8ED64.DisplayName","The rich guy is passed out",""
"Dlg_97F8ED64.Text","

QUEST: Wake up the rich guy.

REWARD: 

MAIN ATTRIBUTE: THE SHADOW",""
"Dlg_3E88336D.DisplayName","Wake him up",""
"Dlg_399DBD11.DisplayName","Czech girls - meeting",""
"DFr_59D65010.Text","The cigarette smoke covers her eyes. 'Ticket,' she says in a low, hollow voice.",""
"DFr_DD9DD86F.Text","Long night?",""
"DFr_3BFBE457.Text","What's with the line?",""
"DFr_D6E48F92.Text","The ticket disappears from your hand. Turns to the rack, searching. Slams the clothes on the counter.",""
"DFr_8ED5EAD0.Text","She has moved on from you. You are nothing to her. 'Next,' she says, to get you out of her sight.",""
"DFr_EAD14F1B.Text","She's not interested. She's been standing here all night and she'll be standing here until you come back for your clothes, all messed up and barely seeing straight.

She smiles, but only a bit.",""
"DFr_9FDB9DD7.Text","I'm trying to find my friend. She's normal height, usual hair, normal voice.",""
"DFr_901A0399.Text","She brushes cigarette smoke off the counter. Looks back at something, in the racks, like you aren't even there, you're a ghost to her. One in hundreds she sees pass by every night.",""
"DFr_9CE2E441.Text","Did I do something to annoy you?",""
"DFr_F0A16360.Text","The smoke parts from her face and you see her, for who she is. 

Her voice is unexpected. 'No', she says with a quiet pace. 'It's just hard.'",""
"DFr_5362A75F.Text","If you need something let me know. I'm around. It's not like I'm doing anything tonight.",""
"DFr_B4619684.Text","It's hard for all of us, lady. You've got a job hanging coats, I rent cars. There is nothing we can expect from the world except to work and die.",""
"DFr_6286767B.Text","She will remember you said that.
On second thought, you really shouldn't have said that.",""
"DFr_B8EB92B4.Text","There is nothing for you here, man!",""
"DFr_3978EF38.Text","You bend down to speak to her. 'Hey, are you in line?'",""
"DFr_49308877.Text","You know you shouldn't be looking under toilet doors.",""
"DFr_B4327943.Text","You get down on her level and see what she's looking at.",""
"DFr_D4F70B95.Text","She pouts. Screws her lips. 'Why, do you want to see? Oh my god are you some freak? Are you about to do some freak shit?'",""
"DFr_8F459EEC.Text","I'm just saying, it looks really strange from up here. You shouldn't be doing that, whatever you're trying to see.",""
"DFr_A1187ADB.Text","'Let me know if there's something I can do.'

You're being way too generous. Maybe you shouldn't have offered your help. You have people to talk to. You came here to get away from the drama.",""
"DFr_0F7CC1D6.Text","She stands. Her face is so...bright? Something is up, the way she stares into you, like in your eyes she sees the universe.",""
"DFr_8AF63A25.Text","I'm looking for the angel. There's an angel, under this club.",""
"DFr_C2F7A57C.Text","'I'll help you find it.'",""
"DFr_2B536F45.Text","'I shouldn't really get involved in that kind of business.'",""
"DFr_BCE7ABFC.Text","I have seen the Angel in all its forms. I am ready to help you locate her.",""
"DFr_F3C42796.Text","She smiles, sort of. <style color=""#ffa61aff"">Incredible.</><style color=""#ffa61aff""> The Angel has returned on its eleventh cycle. It is looking for a place to stay or a body to inhabit. I can't provide one at the moment, so it is waiting in here.</>",""
"DFr_CBDF02B4.Text","I need the <style color=""#26a3d2ff"">angel's hair</>. The parts of itself it sheds and leaves behind when it is witnessed by the mass. The passages of air it releases into our air to breathe. You smell it in the skin-liquid of a thousand bodies being penetrated by sound.",""
"DFr_4C5077EF.Text","I can't promise anything but I'll keep an eye out.

Maybe you will. Don't keep any promises so soon. Not when you're going to be here until sunrise.",""
"DFr_1FAAF5BF.Text","Ah, maybe not. But good luck anyway.",""
"DFr_69CABF0D.Text","She ignores you. Fixed on that tiny slit at the bottom of the bathroom stall. Nothing will pull her away from it.",""
"DFr_7F97FB55.Text","You hand it over. 

Why does it ... feel like that? I swear it wasn't so cold before.",""
"DFr_4C2E366E.Text","She looks you up and down. Grabs your hand and studies the patterns of your veins across your forearm, your hands. <style color=""#ffa61aff"">Fine. You can do something about this, I suppose.</>",""
"DFr_756EDADC.Text","She's not even looking at you. She doesn't even remember you.",""
"DFr_8DA4952D.Text","She takes it from you, her hands over the object so it doesn't stare directly through her flesh.",""
"DFr_5C82F550.Text","You can go in now. That's all she says, tapping on the door.",""
"DFr_CE30F1FA.Text","I have no idea what I'm meant to be doing. Can you give me a hint?",""
"DFr_72754B60.Text","She touches it, as if the hair is burning her fingertips.",""
"DFr_7AC4753E.Text","She needs more. She",""
"DFr_518B1FB3.Text","You nod, your mouth stays closed. You know what to do.",""
"DFr_40B2779C.Text","'Sure, but what is an 'angel's eye' and where am I going to find that?'",""
"DFr_E16123C4.Text","I think I found the other part you're looking for, uh, the...eye?",""
"DFr_1529BE9C.Text","Your eyes are fixed on the door. For a second you look back. The room is quiet. This is the last time you ever see her. 

The tight feeling in your throat. Something makes you want to see her again.",""
"DFr_18BAEEDB.Text","I'm...trying to...I can't see it. I can't fucking see it anymore.",""
"DFr_C8B03EC8.Text","You can stand there being really unproductive, or you can help me out.",""
"DFr_B7EB2FAC.Text","She says something no one in the room understands.",""
"DFr_2CAD582B.Text","You let the beautiful, mechanical poetry spill from your tongue. The language of the Prague gods. 'Should I listen to her?'",""
"DFr_F60C52EF.Text","Because you don't speak Czech. Duska's warning is the nose of scraping and colliding metal on your ears.",""
"DFr_2ADA98B8.Text","She is insane. But maybe you should go along with it. She seems really into it.",""
"DFr_EAF881D3.Text","Eliska laughs at you. Full-blown laugh, like you knew you'd get yourself pulled into this crazy stuff.",""
"DFr_3858D8DC.Text","Hey, are you alright?",""
"DFr_A46B0787.Text","",""
"DFr_B758CFCF.Text","He doesn't move. He's drooling into his lap.",""
"DFr_70B5E2D6.Text","His body spasms as he gets up. 

What are you doing??

He has returned from total oblivion to this world. He's talking again. You saved him. Maybe you'll regret ever waking him up.",""
"DFr_BA1DCF18.Text","Do you, uh, speak, English?

Uh, that came out the wrong way ... did you really have to ask like that? Are you...oh my god, you can't be ... racist?",""
"DFr_BCE8865A.Text","I like your fit. The seal-skin. And the trim. Japanese stitching. Spanish leather.",""
"DFr_77470F1A.Text","He looks around. Scared, then furious. 

I seem to have put it somewhere...",""
"DFr_EA3823D1.Text","This is the kind of guy who wears his money. The fit on the jeans, timeless white shirt. 

The only piece missing from this outfit...",""
"DFr_1CD452E4.Text","I'm sure you find it.

You sound like you don't actually care. You don't even know what it is he's looking for.",""
"DFr_5B81BA4B.Text","His eyes are scattered. Searching.

That jacket is an important part of my personality.",""
"DFr_D3A9A3E2.Text","Yes, of course, your language is easy.",""
"DFr_4D2AE56D.Text","Nothing. Completely lifeless, this guy, lying on the floor in his own piss, and other people's piss. A total embarrassment. 

You wonder if he's down there for a reason.",""
"DFr_A1311315.Text","He stares at your pants, every inch of your face.

I'm glad that you recognise beauty.",""
"DFr_EF4818E6.Text","She took advantage of me while I was drunk.",""
